,school_id,mean,intervention,remoteness_index,cct_percentage,student_classroom_ratio,student_teacher_ratio,pwd_total,female_percentage,male_percentage,pca
4566,109422,14.168,1,0.005856659,0.358044164,0.010290871,0.033020833,0,0.34595163,0.3170347,0.001000055
4567,109423,12.468,1,0.008342579,0,0.004804571,0.026428571,0,0.345345345,0.313063063,0.000999999
4568,109424,18.506,0,0.013216107,0.278625954,0.003402156,0.015595238,0,0.34351145,0.299618321,0.001000055
4569,109425,15.144,1,0.004287159,0.004,0.00621638,0.034090909,0,0.364444444,0.297555556,0.001000055
4570,109427,13.794,1,0.005761857,0.13028169,0.005268332,0.029583333,0,0.387323944,0.286971831,0.000999999
4571,109428,16.896,0,0.005575764,0.095571096,0.003713803,0.029791667,0,0.368298368,0.298368298,0.001000055
4572,109433,13.926,1,0.003655145,0,0.005398186,0.034642857,0,0.323024055,0.323024055,0.001000055
4573,109434,15.75,1,0.004708501,0,0.003691543,0.023690476,0,0.398659966,0.268844221,0.001000055
4574,109435,13.95,1,0.004522408,0.052496799,0.005337653,0.034254386,0,0.349125053,0.314340589,0.001000055
4575,109436,15.766,1,0.00349012,0.020547945,0.005104232,0.040555556,0,0.356164384,0.278864971,0.001000055
4576,109437,15.834,1,0.008921925,0.002557545,0.006346578,0.040729167,0,0.392156863,0.29028133,0.001000055
4577,109438,14.338,1,0.006418449,0.00944206,0.007203765,0.038833333,0,0.375965665,0.304291845,0.000999999
4578,109439,15.45,1,0.007861547,0.162629758,0.005361085,0.026759259,0,0.350634371,0.313148789,0.001000055
4579,109440,13.592,1,0.004676901,0,0.004068736,0.030128205,0,0.388652482,0.294680851,0.001000055
4580,109441,16.62,1,0.005575764,0.078873239,0.00512199,0.026893939,0,0.368075117,0.285915493,0.000999999
4581,109442,16.352,1,0.004873527,0.017470882,0.004877613,0.037098765,0,0.373821409,0.291181364,0.001000055
4582,109443,15.242,1,0.003655145,0.163385827,0.004122841,0.035277778,0,0.368766404,0.303149606,0.001000055
4583,109444,15.256,1,0.004536453,0.016889924,0.004846914,0.034898374,0,0.372354883,0.294408853,0.001000055
4584,109445,15.324,1,0.011151529,0.110898662,0.004527551,0.031130952,0,0.362014022,0.297323136,0.000999999
4585,109446,15.504,1,0.009325712,0.199706314,0.005201769,0.033382353,0,0.389623103,0.28267254,0.000999999
4586,109447,15.324,1,0.008879791,0,0.004897323,0.031428571,0,0.371212121,0.300189394,0.001000055
4587,109448,14.226,1,0.007303268,0.109734513,0.00407595,0.029427083,0,0.331563422,0.330088496,0.000999999
4588,109449,14.778,1,0.008293423,0.02969562,0.005466011,0.037416667,0,0.352388023,0.304380104,0.001000055
4589,109450,13.824,1,0.010730186,0.171102662,0.002627031,0.036527778,0,0.365019011,0.298479087,0.000999999
4590,109451,14.034,1,0.007450738,0.133858268,0.005497122,0.0381,0,0.356955381,0.304461942,0.001000055
