,school_id,percent_grad_above,percent_female,total_repeaters,sc_ratio,st_ratio,sComp_ratio,perc_rep,WORKDAYS_PR,WORKDAYS_UPR,SCHHRSTCH_PR,SCHHRSCHILD_UPR,SCHHRSTCH_UPR,APPROACHBYROAD,CCE_YN,PCR_MAINTAINED,PCR_SHARED,WSEC25P_ENROLLED,SMC_YN,SMCNOMLOCAL_M,SMCNOMLOCAL_F,TXTBKRECD_YN,SMCMEM,SMSPARENTS,pass_percent,intervention
2047,27080816003,86.36363636,86.36363636,0,102.3333333,34.88636364,27.90909091,0,237,237,7,6,7,1,1,1,1,25,1,1,0,2,17,11,98.8,0
2048,27210507505,100,80,0,0,21.4,21.4,0,0,226,0,5.3,6,1,1,1,1,0,1,0,0,1,10,8,78.57,1
2049,27350206413,100,40,0,0,23,16.42857143,0,0,220,0,7,8,1,1,1,1,0,0,0,0,1,0,0,89.28,1
2050,27110202902,100,19.04761905,0,0,28.95238095,304,0,0,230,0,6.3,7,1,1,1,1,0,1,0,0,1,7,10,90.24,1
2051,27141415320,81.57894737,21.05263158,0,279.1428571,51.42105263,195.4,0,230,230,6.3,5.3,6.3,1,1,1,1,0,1,1,0,1,9,4,83.28,1
2052,27201510503,100,14.28571429,0,181,25.85714286,22.625,0,235,235,6.3,5.3,8.3,1,1,1,1,0,1,0,1,1,21,12,63.15,1
2053,27201510503,100,14.28571429,0,181,25.85714286,22.625,0,235,235,6.3,5.3,8.3,1,1,1,1,0,1,0,1,1,21,12,63.15,1
2054,27060601502,100,20,0,0,23.4,23.4,0,0,232,0,5.3,5.3,1,1,1,1,0,1,1,0,1,17,3,73.17,1
2055,27140508102,90,20,0,0,20.8,16,0,235,235,6,6,6,1,1,1,1,0,1,2,0,1,13,9,88.46,1
2056,27070902501,75,25,0,33.88888889,38.125,0,0,224,224,7,6,7,1,1,1,1,0,1,3,0,1,19,13,74.72,1
2057,27141508102,100,40,0,272.6666667,54.53333333,409,0,235,235,6.3,5.3,6.3,1,1,1,1,0,1,1,0,1,12,5,96.37,0
2058,27090410102,66.66666667,55.55555556,0,170,18.88888889,34,0,225,226,6,5,6,1,1,1,1,0,0,0,0,1,0,0,75.67,1
2059,27100206403,75,25,0,159,19.875,22.71428571,0,225,225,8,6,8,1,1,1,1,0,1,0,2,1,11,5,82.75,1
2060,27191103404,100,66.66666667,0,0,27.33333333,27.33333333,0,0,240,0,5.3,6.11,1,1,1,1,0,2,0,0,1,0,0,58.97,1
2061,27050117006,100,60,0,0,31.8,7.227272727,0,0,223,0,6,7,1,0,0,0,0,0,0,0,1,0,0,100,0
2062,27240805503,3.703703704,0,0,239.6666667,26.62962963,71.9,0,220,220,6.3,5.3,6.3,1,1,1,1,0,1,6,1,1,10,2,86.81,1
2063,27050211003,76.47058824,11.76470588,0,0,42.05882353,39.72222222,0,0,230,0,5.4,5.4,1,1,1,1,0,1,3,0,1,14,11,55.88,1
2064,27050211520,100,72.72727273,0,33.78125,49.13636364,19.65454545,0,235,235,6.4,5.4,6.4,1,1,1,1,0,0,0,0,2,0,0,100,0
2065,27320309404,100,20,0,0,2.2,0.611111111,0,0,235,0,5.4,6,1,1,1,1,0,1,1,0,1,13,7,80,1
2066,27141415325,91.42857143,42.85714286,0,620.3333333,53.17142857,93.05,0,230,230,6.3,5.3,6.3,1,1,1,1,0,1,1,0,1,12,9,81.39,1
2067,27151702014,100,75,0,272,54.4,108.8,0,224,224,7,6,7,1,1,1,1,0,1,1,0,1,12,9,92.82,0
2068,27200906202,100,40,0,0,20.8,17.33333333,0,0,220,0,6.3,6.3,1,1,1,1,0,1,1,1,1,18,16,100,0
2069,27200906202,100,40,0,0,20.8,17.33333333,0,0,220,0,6.3,6.3,1,1,1,1,0,1,1,1,1,18,16,100,0
2070,27270700102,11.11111111,11.11111111,0,32,17.77777778,32,0,237,237,7.3,6.3,7.3,1,1,1,1,0,1,0,0,1,14,9,82.6,1
2071,27310914102,100,40,0,0,18.4,0,0,0,236,0,5.5,6.5,1,1,1,1,0,1,1,0,1,18,13,77.77,1
2072,27210103502,81.81818182,27.27272727,0,391,35.54545455,32.58333333,0,215,222,6,5.3,6,1,1,1,1,0,1,0,0,1,7,0,87.14,1
2073,27341002503,100,0,0,0,25.75,51.5,0,0,232,0,5,6,1,1,1,1,0,1,3,2,1,17,6,100,0
2074,27060210502,66.66666667,11.11111111,0,79.75,35.44444444,79.75,0,235,235,6.3,5.3,6.3,1,1,1,1,0,1,6,2,1,18,10,91.22,0
2075,27160502503,50,0,0,0,44.5,22.25,0,0,239,0,6,6,1,1,1,1,0,1,2,1,1,17,4,88.23,1
2076,27290409040,100,0,0,0,9.5,28.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63.15,1
2077,27210606006,100,43.75,12,224.5,28.0625,149.6666667,2.672605791,220,220,6,5.3,6,1,1,1,1,0,1,0,0,1,7,0,62.96,1
2078,27091007602,57.14285714,0,0,146,20.85714286,36.5,0,230,230,7.3,6.3,7.3,1,1,1,1,0,1,2,0,1,13,6,86.95,1
2079,27040106504,100,0,0,0,78,19.5,0,0,232,0,5.3,6,1,1,1,1,0,1,2,0,1,15,2,98.14,0
2080,27241103604,100,0,0,0,29.6,12.33333333,0,0,237,0,6,6,1,1,1,1,0,1,1,0,1,15,14,90.32,1
2081,27170507407,66.66666667,33.33333333,0,154,17.11111111,51.33333333,0,240,240,6,5.3,6,1,1,1,1,0,0,0,0,1,0,0,89.47,1
2082,27280902302,100,20,0,0,26.2,65.5,0,0,236,0,5.3,6.3,1,1,1,1,0,2,0,0,1,0,0,92.1,0
2083,27050211545,88.88888889,33.33333333,0,0,12.88888889,19.33333333,0,0,233,0,6,6,1,1,1,1,0,1,1,1,1,22,2,27.02,1
2084,27270300702,100,22.22222222,0,313,34.77777778,156.5,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,7,0,100,0
2085,27050703604,73.68421053,0,0,428,45.05263158,65.84615385,0,224,224,6.4,5.4,6.4,1,1,1,1,0,2,0,0,1,0,0,69.84,1
2086,27230700243,60,0,0,101.5625,54.16666667,46.42857143,0,220,220,6.3,6,6.3,1,1,1,1,0,1,0,0,1,0,0,99.28,0
2087,27150504402,95.65217391,0,0,598,26,59.8,0,239,239,6.3,5.3,6.3,1,1,1,1,0,1,0,0,1,12,3,90.47,1
2088,27170103602,100,0,0,0,43.2,43.2,0,0,239,0,5.3,5.3,1,1,1,1,0,1,0,0,1,11,6,88.05,1
2089,27050707301,100,0,0,0,26.14285714,22.875,0,0,224,0,5.4,6.4,1,1,1,1,0,1,0,0,1,7,7,83.56,1
2090,27211213004,100,30.76923077,1,412,31.69230769,41.2,0.242718447,232,232,6.3,5.3,6.3,1,1,1,1,0,1,0,1,1,17,9,92.06,0
2091,27200201315,100,0,0,543.2,38.8,41.78461538,0,220,230,7,6,7,1,1,1,1,0,1,1,0,1,16,11,94.11,0
2092,27200201315,100,0,0,543.2,38.8,41.78461538,0,220,230,7,6,7,1,1,1,1,0,1,1,0,1,16,11,94.11,0
2093,27220900147,100,57.14285714,0,0,23.78571429,333,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,16,9,69.51,1
2094,27090101102,89.47368421,26.31578947,0,459,24.15789474,229.5,0,228,230,6,6,6,1,1,1,1,0,1,1,1,1,14,2,93.75,0
2095,27230700231,100,75,0,149,18.625,12.41666667,0,230,230,6,5.3,6,1,1,1,1,0,0,0,0,0,0,0,99.2,0
2096,27230700231,100,75,0,149,18.625,12.41666667,0,230,230,6,5.3,6,1,1,1,1,0,0,0,0,0,0,0,100,0
2097,27281009906,100,0,0,0,74.75,149.5,0,0,235,0,5.3,5.3,1,0,0,0,0,2,0,0,1,0,0,76.19,1
2098,27190117526,100,0,0,0,27,0,0,0,223,0,5.3,5.3,1,2,2,2,0,2,0,0,0,0,0,83.33,1
2099,27060104102,100,0,0,0,28.75,38.33333333,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,17,3,94.23,0
2100,27271200513,100,26.66666667,0,653,43.53333333,65.3,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,17,9,95.55,0
2101,27270600303,50,0,0,21,21,0,0,237,0,6.3,0,0,2,1,1,1,0,1,0,1,1,14,8,98.98,0
2102,27230700238,100,38.0952381,0,197,18.76190476,39.4,0,220,220,6.3,5.3,6.3,1,1,1,1,0,1,3,4,1,15,8,100,0
2103,27140710308,100,0,0,0,3.75,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75,1
2104,27241101402,100,25,0,0,26.5,35.33333333,0,0,238,0,6,6,1,1,1,1,0,1,0,0,1,9,6,88.88,1
